笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a37ba5c000000001503ffe4,小星,https://www.xiaohongshu.com/search_result/6a37ba5c000000001503ffe4?xsec_token=ABKcpdiNookDSeXJp_XLZsdZOn7bxhZW75eFzS70F39NY=&xsec_source=,真心建议大家别用滴滴打车了,"端午过节打车回家，平常10元左右的路途费用，节假日打个车打了17元，端午当天打车平台➕了6.9元！！！
今天打出租车跟师傅闲聊，才知道过节出租车是没有加钱的，而且经过端午测试，打出租车竟然比从平台打车便宜，而且加的费用全被平台赚了！
真心建议管管滴滴平台吧，把人当傻子玩呢[生气R]",4,,7,,2026-06-21 18:18:04
6a37b3a2000000000f0147dd,德艺双馨的李老师,https://www.xiaohongshu.com/search_result/6a37b3a2000000000f0147dd?xsec_token=ABKcpdiNookDSeXJp_XLZsda_fltmtPLmx-QyTWjVeRhs=&xsec_source=,某滴打车打到出租车🚕的计价标准是什么？,"早上用某滴打了个车，显示预估价格不到20元（记得没选出租车）
来了辆出租车🚕送到地方显示需要支付45元，费用翻了一倍还多，感觉不对就没支付。
查了当地出租车的计价标准和行驶里程推算打表费用26左右，电话询问司机说打表费用30元，其余是平台服务费。
退一万步讲，就算司机打表无误，也就是乘客要额外付0.5倍的车费作为平台服务费，加起来就是1.5倍的打表费甚至都不止，这不太对吧？
如果我200的车费岂不是要付300起了？！
那谁还选出租车？某滴吃相也太难看了吧
#关于我打车被司机种草这件事[话题]# #出租车[话题]# #网约车[话题]# #拒绝价格刺客[话题]# #滴滴出行[话题]# #滴滴[话题]# #滴滴司机[话题]# #滴滴打车[话题]# #滴滴车主[话题]#",3,,24,,2026-06-21 17:49:22
6a31f2fd0000000011019827,哇咔咔,https://www.xiaohongshu.com/search_result/6a31f2fd0000000011019827?xsec_token=ABzo91c7VIfdppP7FCZM7bRAaNJyu7_QQ57J6MJ-iTipk=&xsec_source=,打滴滴一定不要选出租车！,大家打滴滴一定不要勾选出租车的选项，他们还是和线下一样！拒载！态度差！#滴滴[话题]# #出租车[话题]#,9,,32,2,2026-06-17 09:06:05
6a36633c000000001101f025,彼岸,https://www.xiaohongshu.com/search_result/6a36633c000000001101f025?xsec_token=ABJoE-mZxZnBNmIc4i_lT6xWZoFNbeAWHSmATOZK_0yDI=&xsec_source=,滴滴后台明知宰客却放任不管,"下单预估价最高13元追加车型后预估最高13.4元，下车直接收26元，车费直接翻倍，找滴滴人工客服对线，后台核实行驶里程只有2.4公里，我下车实拍计价器，最后巷子太窄提前一百多米下车，还实打实跑了3公里多，司机凭空多跑了0.6km！
一开始我甚至都没发订单、没说行程，滴滴AI客服一上来直接精准报出我预估和实付的差价，还主动甩出两个补偿方案：要么15元券、要么减14元账单。这说明平台后台全程实时监控每一笔订单，明明早就清楚这单收费严重超标，却不提前管控
全程拉扯半个多小时，客服没有一句正面解释，全程复制粘贴机器人话术，反复追问绕路原因、计价逻辑，只会甩锅“出租车打表，平台不干预”
当晚联系客服明确表示24点前跟我电话联系给出处理结果，客服也说已经对接清楚，结果最后等了两个半小时到了24点也没有跟我联系
#关于滴滴打出租车乱收费[话题]# #滴滴出行[话题]# @滴滴出行客服",13,,18,,2026-06-20 17:54:04
6a37d0fd000000001503c2a6,等一下,https://www.xiaohongshu.com/search_result/6a37d0fd000000001503c2a6?xsec_token=ABKcpdiNookDSeXJp_XLZsdcJXHWVr21YL0HSYOa8ymNg=&xsec_source=,滴滴处理问题的效率,"要避雷滴滴吗？滴滴处理问题的第三天
18号通过滴滴打了出租车，司机未经我允许拼了3个人（这3个人按人头收费），因为拼车（其中一人体型偏大），我不得不挤得无法动弹，因时间比较紧，我不得不坐了出租车，我全程按出租车价格计费。
1、18号晚上在滴滴APP上反映了该问题，然后核实后给我解决方案。
2、19号核实后最后给我的是补我5元差价，然后处罚司机。我不认可该方案，我认为我付了全价，而且是4个人坐，本来就侵犯了我单独坐车的权益，我只要求按4人分摊费用。本来总金额不高，补了5元差价， 本来也没多少钱，我也只是想看下滴滴处理问题的态度，这次也是被 气笑了。然后我打电话过去表达不认可，然后说要向上级反应，说48小时回复
3、20号人工打电话回复了，回复的内容是没得处理结果，处理不了，然后又说要向上级反应。居然也是处理方案。
4、21号人工打电话过来，问是否方便接听电话，我说方便，然后对方说不方便吗？然后就挂了。
不知道大家遇到过这种问题没？难道真的要打12328投诉？
#滴滴[话题]# #维护自身权益[话题]# #避雷滴滴[话题]# #滴滴客服[话题]# #滴滴客服听不懂人话[话题]#",2,,8,1,2026-06-21 19:54:38
6a38058b000000001603d96a,全国实体~餐饮，酒店，汽油,https://www.xiaohongshu.com/search_result/6a38058b000000001603d96a?xsec_token=AB3GSgF2qbbvhx0j9Na6l8VMtAdPz-cbc6dLfQtBgGf5k=&xsec_source=,特别注意：这些情况要避开,"出租车订单：​​ 通过滴滴平台叫到的出租车，是无法开具电子发票的，只能向司机索要纸质发票。如果公司不报销纸质票，建议优先选择快车、专车等网约车服务。#滴滴出行[话题]#
​​充值发票：​​ 给滴滴账户充值时开具的“ 不征税”发票 ，是不能用于报销抵扣的。
​​报销凭证：​​ 有些公司报销时，除了电子发票，还要求提供行程单和 发票真伪查询结果 ，建议提前和公司财务确认清楚，避免遗漏。#发票报销[话题]# #全电发票[话题]#",,,,,2026-06-21 23:38:51
6a2fdf3d00000000060334e5,被滴滴司机骂穷,https://www.xiaohongshu.com/search_result/6a2fdf3d00000000060334e5?xsec_token=ABhGbQODwEeSju5NLYBKEUKlf7d8buGdvVz5jQbADRxs4=&xsec_source=,这就是滴滴吗 关门不让乘客进 说乘客穷,#网约车[话题]# #滴滴出行[话题]# 我打车 有勾选 接了特惠 六分钟到达 十分钟到 这就没有什么了 然后停的特别远 下车说不去    我说为什么不去 司机说特惠就不去 是不是穷后面那个字不知道能不能打出来 然后我说那你取消啊 为什么要接 最后司机来了一句 五分钟我取消  第一次见把人关车门口的是不是看我是女孩子就这样欺负人 那么多年第一次见！,6,,36,1,2026-06-15 19:17:17
6a387788000000001c026050,jack,https://www.xiaohongshu.com/search_result/6a387788000000001c026050?xsec_token=AB3GSgF2qbbvhx0j9Na6l8VCbszAGwV4FojqtHWmTaPV0=&xsec_source=,友提：部分滴滴司机会将停车费加到车价中,大家注意避雷，即使你的车价是一口价，他们也会将停车费加到“其他无法预估费用”中去，这种情况在火车站和机场订单中最为普遍，希望大家擦亮眼睛核实！！该举报举报，该投诉投诉，让这些无良黑心司机无所遁形#出租车[话题]# #网约车[话题]# #滴滴[话题]# #滴滴出行[话题]# #滴滴司机[话题]# #无良商家[话题]#,3,1,4,3,2026-06-22 07:45:12
6a3500430000000017008080,小红薯64E60C72,https://www.xiaohongshu.com/search_result/6a3500430000000017008080?xsec_token=ABDd5hG3NhZq6FEnRuAryES7jw78PlXfdMzjvSnr4ePbo=&xsec_source=,避雷滴滴，果断黑名单,避雷滴滴打车、滴滴出行，打到阳光出行的车，显示1.8公里，我就下楼，下到楼显示司机信号差越走越远6.8公里，下楼等了半个钟，司机来到我打车对面车道了，直接点到达，再直接取消订单，那算我有空等车吗mmp#滴滴[话题]# #滴滴出行[话题]# #阳光出行[话题]# #阳光出行垃圾[话题]#,2,,2,,2026-06-19 16:39:31
6a3427f9000000001101b57b,团子总是来海棠湾看月亮,https://www.xiaohongshu.com/search_result/6a3427f9000000001101b57b?xsec_token=ABdaQY6AecABtGSye1LTp9ZXNMEErKHxmDRsllSK3b54Y=&xsec_source=,滴滴出行为什么经常打到僵尸车？？,经常打到车然后司机半天不动显示司机信号不好获取不到位置信息 今天又是连续两次这种情况 下着暴雨我在路边等了十几分钟的车  给司机打电话都是关机或者无人接通 已经有五六次这样的经历了 我的时间不是时间吗 滴滴出来给个解释 真的很生气！！#滴滴出行[话题]# #打车[话题]# @滴滴美好出发 @滴滴出行客服,16,,9,1,2026-06-19 01:16:42
